Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale,StreetType,Weekend
Abbotsford,2,unit,700000.0,VB,Jellis,2016-12-11,2.5,3067,2,2,1,0.0,126.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019,21.0,1.0,12,46,6,St,1
Abbotsford,3,house,1350000.0,VB,Nelson,2016-12-11,2.5,3067,3,2,2,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,23.75,-0.0594059405940594,12,11,6,St,1
Abbotsford,2,unit,750000.0,S,Biggin,2016-12-11,2.5,3067,2,2,1,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,15.666666666666666,1.0,12,7,6,St,1
Abbotsford,2,house,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,126.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,25.2,-0.21495327102803738,8,46,5,St,1
Abbotsford,1,unit,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,42.0,1.0,5,46,5,St,1
Abbotsford,2,house,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019,19.4,-0.4208955223880597,10,126,5,St,1
Abbotsford,3,house,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019,13.75,-0.013452914798206279,7,136,5,St,1
Abbotsford,3,house,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,17.5,-0.13580246913580246,7,126,5,St,1
Abbotsford,3,house,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,126.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,18.0,-0.18446601941747573,9,46,5,St,1
Abbotsford,2,house,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,14.6,-0.3452914798206278,9,31,5,St,1
Abbotsford,4,house,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,13.5,-0.7049180327868853,3,117,5,St,1
Abbotsford,3,townhouse,900000.0,S,other,2017-03-18,2.5,3067,3,2,2,0.0,126.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,15.75,1.0,3,7,5,St,1
Abbotsford,3,unit,1090000.0,S,Jellis,2017-03-18,2.5,3067,3,2,2,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,3.375,-0.9874913134120917,3,47,5,St,1
Abbotsford,2,unit,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,12.0,1.0,6,46,5,St,1
Abbotsford,2,house,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,22.5,0.04247104247104247,6,3,5,St,1
Abbotsford,2,house,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019,17.0,-0.2672413793103448,11,116,5,St,1
Abbotsford,1,unit,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,42.0,1.0,8,46,0,St,0
Abbotsford,3,house,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,19.333333333333332,0.023529411764705882,8,4,0,St,0
Abbotsford,1,unit,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,16.666666666666668,1.0,8,46,0,St,0
Abbotsford,2,house,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,21.333333333333332,0.13274336283185842,8,96,0,St,0
Abbotsford,4,house,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,0.0,126.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,11.454545454545455,1.0,9,46,5,St,1
Abbotsford,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019,2.25,-0.7818181818181819,2,47,5,St,1
Abbotsford,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,17.714285714285715,-0.1506849315068493,2,67,5,St,1
Abbotsford,1,unit,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,16.666666666666668,1.0,7,3,1,St,0
Abbotsford,2,house,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,18.2,-0.28063241106719367,11,116,6,St,1
Abbotsford,3,house,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,16.0,0.03225806451612903,11,18,6,St,1
Abbotsford,2,house,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,16.4,-0.3787878787878788,5,116,5,St,1
Abbotsford,2,house,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,16.2,-0.35968379446640314,7,86,5,St,1
Airport West,3,townhouse,840000.0,PI,Nelson,2016-03-09,13.5,3042,3,2,1,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,28.125,-0.14772727272727273,3,0,2,Rd,0
Airport West,3,house,730000.0,VB,Nelson,2016-03-12,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,18.125,1.0,3,51,5,St,1
Airport West,3,house,770000.0,SP,Nelson,2017-04-03,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,18.125,1.0,4,52,0,St,0
Airport West,2,house,603000.0,S,Nelson,2017-04-03,13.5,3042,2,1,1,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,16.8,-0.5280898876404494,4,67,0,St,0
Airport West,3,townhouse,700000.0,S,Brad,2017-04-03,13.5,3042,3,2,2,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,16.75,-0.28150134048257375,4,8,0,St,0
Airport West,3,house,600000.0,S,other,2017-04-03,13.5,3042,2,1,1,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,19.333333333333332,-0.42857142857142855,4,37,0,Gr,0
Airport West,2,unit,500000.0,VB,Barry,2017-04-03,13.5,3042,2,1,1,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,17.2,-0.3228346456692913,4,6,0,St,0
Airport West,3,house,720000.0,S,Barry,2016-06-08,13.5,3042,2,1,1,620.0,126.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,21.0,-0.6621983914209115,6,46,2,Rd,0
Airport West,4,house,785000.0,S,other,2016-06-08,13.5,3042,3,1,2,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,15.875,-0.649171270718232,6,46,2,Rd,0
Airport West,6,house,725000.0,SP,Barry,2016-07-05,13.5,3042,6,3,2,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,12.4,-0.6798623063683304,7,36,1,Rd,0
Airport West,2,townhouse,450000.0,S,Barry,2016-07-05,13.5,3042,2,1,1,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,18.0,-0.1,7,1,1,Rd,0
Airport West,2,unit,515000.0,S,Barry,2016-07-11,13.5,3042,2,1,1,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,14.6,-0.3177570093457944,7,3,0,St,0
Airport West,2,unit,530000.0,S,Nelson,2016-10-09,13.5,3042,2,1,1,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,18.8,-0.12149532710280374,10,4,6,Rd,1
Airport West,3,house,895000.0,PI,Rendina,2016-10-09,13.5,3042,3,1,6,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,19.0,-0.7775919732441472,10,41,6,Ct,1
Airport West,3,house,805000.0,S,Nelson,2016-10-12,13.5,3042,3,1,1,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,15.0,1.0,10,66,2,St,0
Airport West,3,unit,752000.0,S,Nelson,2017-11-02,13.5,3042,3,1,1,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,18.571428571428573,-0.34177215189873417,11,24,3,St,0
Airport West,2,unit,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,126.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,25.2,-0.20754716981132076,8,46,5,Rd,1
Airport West,5,house,755000.0,PI,other,2016-05-14,13.5,3042,3,2,2,596.0,126.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,12.6,-0.6509695290858726,5,46,5,Rd,1
Airport West,3,townhouse,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,16.625,-0.10738255033557047,10,7,5,St,1
Airport West,3,house,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,16.142857142857142,-0.7915129151291513,4,56,5,Rd,1
Airport West,2,unit,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,126.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,25.2,-0.1310344827586207,7,13,5,St,1
Airport West,3,house,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,126.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,15.75,-0.6781609195402298,7,46,5,Gr,1
Airport West,2,house,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,20.0,-0.7191011235955056,7,41,5,Rd,1
Airport West,3,house,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,21.75,-0.5572519083969466,7,66,5,Rd,1
Airport West,3,house,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,126.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,18.0,-0.7203107658157603,9,46,5,St,1
Airport West,4,house,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,25.75,-0.2642857142857143,9,36,5,St,1
Airport West,3,house,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,21.333333333333332,-0.4859437751004016,3,37,5,Rd,1
Airport West,3,house,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,15.75,-0.5401459854014599,3,22,5,Rd,1
Airport West,3,house,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,126.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,18.0,-0.6594594594594595,3,47,5,Rd,1
Airport West,3,townhouse,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,14.428571428571429,-0.22900763358778625,6,6,5,Rd,1
Airport West,3,townhouse,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,12.75,-0.4835443037974684,11,56,5,St,1
Airport West,3,house,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,16.142857142857142,-0.6734104046242775,5,41,6,Rd,1
Airport West,3,house,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,126.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,18.0,-0.6635514018691588,8,46,0,Rd,0
Airport West,2,unit,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,15.2,-0.2995391705069124,8,46,0,St,0
Airport West,3,house,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,126.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,15.75,-0.25443786982248523,8,46,0,Rd,0
Airport West,3,house,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,126.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,18.0,-0.6585365853658537,4,46,5,Rd,1
Airport West,4,house,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,126.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,11.454545454545455,-0.6170212765957447,9,46,5,Dr,1
Airport West,3,house,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,126.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,18.0,-0.6455696202531646,2,47,5,St,1
Airport West,4,house,765000.0,S,other,2016-11-27,13.5,3042,4,1,2,509.0,126.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,14.0,-0.6031496062992125,11,46,6,Rd,1
Airport West,4,house,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,14.6,-0.6227390180878553,11,41,6,Rd,1
Albert Park,2,house,1275000.0,S,hockingstuart,2016-03-09,3.3,3206,2,1,0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,16.4,-0.18811881188118812,3,116,2,Rd,0
Albert Park,2,house,1455000.0,S,Thomson,2016-03-09,3.3,3206,2,1,0,159.0,126.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,25.2,-0.11578947368421053,3,46,2,St,0
Albert Park,3,house,2850000.0,PI,Buxton,2017-04-03,3.3,3206,3,2,0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,24.75,-0.03178484107579462,4,127,0,Pde,0
Albert Park,3,house,1850000.0,S,Greg,2017-04-03,3.3,3206,3,2,0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,16.625,0.019157088122605363,4,127,0,St,0
Albert Park,2,house,1436000.0,S,RT,2017-04-03,3.3,3206,2,1,0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,16.2,-0.23222748815165878,4,117,0,St,0
Albert Park,2,house,1110000.0,S,Marshall,2016-06-08,3.3,3206,1,1,0,147.0,126.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,31.5,-0.07692307692307693,6,116,2,St,0
Albert Park,2,house,1550000.0,S,other,2016-07-05,3.3,3206,2,1,1,167.0,126.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,25.2,-0.13993174061433447,7,46,1,St,0
Albert Park,4,house,2300000.0,S,Marshall,2016-07-05,3.3,3206,4,2,1,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,18.0,0.08108108108108109,7,136,1,St,0
Albert Park,3,townhouse,1550000.0,VB,Marshall,2016-07-11,3.3,3206,3,2,2,718.0,126.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,15.75,-0.7014218009478673,7,46,0,St,0
Albert Park,3,house,1800000.0,VB,Greg,2016-07-11,3.3,3206,3,2,1,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,19.875,0.09278350515463918,7,20,0,St,0
Albert Park,2,house,2120000.0,S,Greg,2016-10-09,3.3,3206,2,1,1,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,21.4,-0.3006535947712418,10,116,6,St,1
Albert Park,3,house,1800000.0,VB,Cayzer,2016-10-09,3.3,3206,3,1,1,253.0,126.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,18.0,-0.33509234828496043,10,46,6,St,1
Albert Park,3,house,1800000.0,S,Marshall,2016-10-09,3.3,3206,3,2,1,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,15.25,0.1509433962264151,10,116,6,Pl,1
Albert Park,2,house,1810000.0,PI,Greg,2016-10-12,3.3,3206,2,1,0,240.0,126.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,25.2,-0.3114754098360656,10,46,2,St,0
Albert Park,3,house,2615000.0,S,Cayzer,2016-10-12,3.3,3206,3,2,1,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,22.625,0.0111731843575419,10,136,2,Pl,0
Albert Park,5,house,2100000.0,S,Greg,2016-10-12,3.3,3206,5,2,1,237.0,126.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,10.5,-0.30578512396694213,10,46,2,St,0
Albert Park,3,house,1300000.0,S,hockingstuart,2016-10-12,3.3,3206,3,1,0,129.0,126.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280,18.0,-0.011764705882352941,10,46,2,St,0
Albert Park,3,house,1370000.0,S,Greg,2016-12-06,3.3,3206,3,2,2,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,10.625,1.0,12,16,1,other,0
Albert Park,2,house,1000000.0,S,Cayzer,2016-12-11,3.3,3206,2,1,0,288.0,126.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,25.2,-0.391304347826087,12,46,6,St,1
Albert Park,3,house,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,126.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,15.75,-0.288135593220339,10,46,5,St,1
Albert Park,2,house,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,19.6,-0.20647773279352227,10,126,5,St,1
Albert Park,2,house,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,16.6,-0.25892857142857145,10,126,5,St,1
Albert Park,3,house,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,18.375,-0.1787709497206704,4,116,5,St,1
Albert Park,3,house,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,126.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,18.0,-0.24776119402985075,3,117,5,Rd,1
Albert Park,3,house,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,18.25,-0.0034129692832764505,3,127,5,St,1
Albert Park,4,house,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,23.09090909090909,-0.12564543889845095,6,106,5,St,1
Albert Park,2,unit,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,0.0,126.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,25.2,1.0,5,46,6,Rd,1
Albert Park,3,house,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,20.5,0.012345679012345678,4,116,5,St,1
Albert Park,3,house,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,18.714285714285715,-0.2899728997289973,9,126,5,St,1
Albert Park,1,unit,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,11.333333333333334,1.0,2,47,5,St,1
Albert Park,4,house,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,20.7,-0.22905027932960895,2,107,5,St,1
Albert Park,2,house,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,126.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,25.2,-0.03816793893129771,2,47,5,St,1
Albert Park,3,house,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,126.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,18.0,-0.23170731707317074,2,47,5,St,1
Albert Park,3,house,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,14.0,1.0,7,46,1,Pl,0
Albert Park,3,house,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,126.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,15.75,-0.44124168514412415,7,46,1,St,0
Albert Park,4,house,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,16.11111111111111,-0.11585365853658537,6,136,0,St,0
Albert Park,2,house,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,126.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,25.2,-0.125,11,46,6,St,1
Albert Park,2,house,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,13.6,-0.07482993197278912,5,126,5,St,1
Albert Park,3,house,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,126.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,15.75,-0.09352517985611511,8,46,6,St,1
Albert Park,3,house,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,16.75,-0.046263345195729534,8,126,6,St,1
Albert Park,3,house,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,14.0,1.0,7,46,5,St,1
Albert Park,1,house,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,18.0,-0.2,7,116,5,St,1
other,4,house,2000000.0,S,other,2016-03-09,6.4,3078,3,2,4,853.0,263.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,29.22222222222222,-0.5286738351254481,3,86,2,St,0
other,3,house,1110000.0,S,Jellis,2016-03-09,6.4,3078,3,2,2,208.0,126.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,15.75,-0.24550898203592814,3,3,2,St,0
other,3,house,1492000.0,S,Jellis,2017-04-03,6.4,3078,3,2,2,411.0,126.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211,15.75,-0.5307262569832403,4,47,0,Rd,0
other,4,house,1717500.0,S,Collins,2016-08-10,6.4,3078,4,2,1,599.0,203.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211,20.3,-0.4937655860349127,8,91,2,St,0
other,5,house,2840000.0,S,Nelson,2016-12-06,6.4,3078,5,4,4,809.0,165.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211,11.785714285714286,-0.6611909650924025,12,106,1,Rd,0
other,2,unit,525500.0,S,Miles,2016-12-11,6.4,3078,2,1,1,88.0,60.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211,12.0,-0.1891891891891892,12,56,6,St,1
other,2,townhouse,805000.0,S,Miles,2016-12-11,6.4,3078,2,2,3,155.0,140.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211,23.333333333333332,-0.05084745762711865,12,12,6,St,1
other,2,unit,465000.0,S,McGrath,2016-12-11,6.4,3078,2,1,1,0.0,126.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,25.2,1.0,12,46,6,Rd,1
other,3,house,2000000.0,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686.0,126.0,Darebin,-37.78,145.0341,Northern Metropolitan,2211,14.0,-0.6896551724137931,10,46,5,Rd,1
other,3,house,1540000.0,S,Nelson,2016-04-16,6.4,3078,3,1,2,592.0,126.0,Darebin,-37.7755,145.0288,Northern Metropolitan,2211,18.0,-0.649025069637883,4,46,5,Rd,1
other,2,unit,820000.0,S,Nelson,2017-03-18,6.4,3078,2,1,1,183.0,126.0,Darebin,-37.7747,145.0264,Northern Metropolitan,2211,25.2,-0.18446601941747573,3,47,5,Rd,1
