id,flag_a
C53803K,1
C54074K,1
C54162K,1
C54206K,1
C54209K,1
C54256K,1
C54311K,1
C54412K,1
C54688K,1
C54781K,1
C54823K,1
C54855K,1
C54908K,1
C54935K,1
C55054K,1
C55171K,1
C55217K,1
C55312K,1
C55534K,1
C55566K,1
C55585K,1
C55617K,1
C55659K,1
C55660K,1
C55708K,1
C55714K,1
C55788K,1
C55789K,1
C55800K,1
C55809K,1
C55874K,1
C55900K,1
C55951K,1
C56172K,1
C56255K,1
C56263K,1
C56288K,1
C56353K,1
C56392K,1
C56396K,1
C56505K,1
C56595K,1
C56628K,1
C57082K,1
C57151K,1
C57184K,1
C57465K,1
C57490K,1
C57623K,1
C57624K,1
C57643K,1
C57682K,1
C57718K,1
C57792K,1
C57897K,1
C58119K,1
C58128K,1
C58173K,1
C58241K,1
C58268K,1
C58349K,1
C58382K,1
C58454K,1
C58598K,1
C58660K,1
C58682K,1
C58790K,1
C58795K,0
C58859K,1
C58917K,1
C59147K,1
C59247K,1
C59265K,1
C59280K,1
C59334K,1
C59420K,0
C59927K,1
C60056K,1
C60347K,1
C60365K,1
C60371K,1
C60399K,1
C60588K,1
C60612K,0
C60769K,1
C60821K,1
C60832K,0
C60874K,1
C60947K,1
C61115K,1
C61124K,1
C61147K,1
C61208K,1
C61277K,1
C61298K,1
C61414K,1
C61732K,1
C61737K,0
C61741K,1
C61771K,1
C61952K,1
C61964K,1
C61997K,1
C62016K,0
C62038K,1
C62150K,0
C62205K,1
C62233K,0
C62246K,1
C62247K,1
C62252K,1
C62253K,1
C62463K,1
C62599K,1
C62619K,1
C62640K,1
C62709K,1
C62715K,0
C62748K,1
C62880K,1
C62920K,1
C62970K,1
C63031K,1
C63124K,1
C63272K,1
C63378K,1
C63395K,1
C63588K,1
C63662K,1
C63669K,1
C63773K,1
C63799K,1
C63883K,1
C63896K,1
C63917K,1
C64102K,1
C64103K,1
C64309K,1
C64334K,1
C64336K,1
C64420K,1
C64454K,1
C64475K,1
C64481K,1
C64509K,1
C64613K,1
C64674K,1
C64732K,1
C64735K,1
C64770K,1
C64839K,1
C64950K,1
C65064K,1
C65155K,1
C65192K,1
C65223K,1
C65229K,1
C65281K,1
C65314K,1
C65341K,1
C65348K,1
C65370K,1
C65563K,1
C65603K,0
C65670K,1
C65672K,1
C65711K,1
C65756K,1
C65762K,1
C65795K,1
C65894K,1
C65897K,1
C65914K,0
C66002K,1
C66003K,1
C66122K,1
C66138K,1
C66281K,1
C66592K,1
C66673K,1
C66798K,0
C66855K,1
C67013K,1
C67092K,1
C67109K,1
C67147K,1
C67235K,1
C67271K,1
C67424K,1
C67507K,1
C67624K,1
C67641K,1
C67642K,1
C67655K,1
C67671K,1
C67676K,1
C67687K,1
C67750K,1
C67779K,1
C67810K,1
C67836K,1
C67837K,1
C67845K,1
C67854K,1
C68025K,1
C68146K,1
C68192K,1
C68226K,1
C68339K,1
C68347K,1
C68363K,1
C68365K,1
C68402K,1
C68564K,0
C68624K,1
C68692K,1
C69028K,1
C69070K,1
C69085K,0
C69139K,1
C69182K,1
C69342K,1
C69360K,1
C69521K,1
C69530K,1
C69609K,1
C69610K,1
C69692K,1
C69777K,1
C69809K,1
C69985K,1
C69998K,1
C70103K,1
CA000FK,1
CA000HK,1
CA000JK,1
CA0012K,1
CA001WK,1
CA0020K,1
CA0036K,1
CA003AK,1
CA003VK,1
CA004BK,1
CA004CK,1
CA004MK,1
CA0051K,1
CA0055K,1
CA005PK,1
CA005YK,1
CA006BK,1
CA006CK,1
CA006OK,1
CA006XK,1
CA007SK,1
CA008KK,0
CA0090K,1
CA00AFK,1
CA00B1K,1
CA00BYK,1
CA00CVK,1
CA00DCK,1
CA00DKK,1
CA00DZK,1
CA00EAK,1
CA00ESK,1
CA00F8K,1
CA00FAK,1
CA00G6K,1
CA00G9K,1
CA00HKK,0
CA00I2K,1
CA00ITK,1
CA00IYK,1
CA00J3K,1
CA00J9K,1
CA00KFK,1
CA00LBK,1
CA00LEK,1
CA00LLK,1
CA00MFK,1
CA00MNK,1
CA00N4K,1
CA00NGK,1
CA00O0K,1
CA00OKK,1
CA00PNK,1
CA00RPK,1
CA00RRK,1
CA00SEK,1
CA00SKK,1
CA00TEK,0
CA00TNK,1
CA00TOK,1
CA00UGK,1
CA00VFK,1
CA00W4K,1
CA00WYK,1
CA00XIK,1
CA00XNK,1
CA00YTK,1
CA00Z0K,1
CA010PK,1
CA010XK,1
CA011DK,0
CA011YK,1
CA0122K,1
CA012VK,1
CA0138K,1
CA013LK,1
CA0141K,1
CA014WK,1
CA0159K,1
CA015NK,1
CA015VK,1
CA017MK,1
CA017ZK,1
CA018DK,1
CA018KK,1
CA018NK,0
CA018RK,1
CA0194K,1
CA0199K,0
CA019GK,1
CA019HK,1
CA01A7K,0
CA01BDK,1
CA01CLK,1
CA01DAK,1
CA01DHK,1
CA01DNK,1
CA01DUK,1
CA01ELK,1
CA01EUK,1
CA01F9K,0
CA01FFK,1
CA01G6K,0
CA01GMK,1
CA01H2K,1
CA01H9K,1
CA01HBK,1
CA01HSK,1
CA01I7K,1
CA01ILK,1
CA01J7K,1
CA01JMK,1
CA01K4K,1
CA01L5K,1
CA01LJK,1
CA01LRK,1
CA01M0K,1
CA01M4K,1
CA01M8K,1
CA01MDK,1
CA01MLK,1
CA01MNK,1
CA01MQK,1
CA01MUK,0
CA01NCK,1
CA01O5K,1
CA01P1K,1
CA01P3K,1
CA01PFK,1
CA01PPK,0
CA01PQK,1
CA01PVK,1
CA01Q4K,1
CA01Q7K,1
CA01QDK,0
CA01S1K,1
CA01T1K,1
CA01TAK,1
CA01TWK,1
CA01TZK,1
CA01UNK,1
CA01UVK,1
CA01V9K,1
CA01VEK,1
CA01VKK,1
CA01VMK,1
CA01VTK,1
CA01VYK,1
CA01WJK,1
CA01WUK,1
CA01Y1K,1
CA01ZVK,1
CA020FK,1
CA020KK,1
CA020WK,1
CA021LK,1
CA021PK,1
CA0221K,1
CA0233K,1
CA024AK,1
CA024HK,1
CA024YK,1
CA025GK,1
CA025XK,1
CA0269K,1
CA026VK,1
CA0275K,1
CA027RK,1
CA027XK,1
CA0289K,1
CA028QK,0
CA028SK,1
CA029CK,0
CA029MK,1
CA029QK,1
CA029UK,1
CA02A1K,1
CA02ACK,1
CA02ANK,1
CA02BPK,0
CA02C1K,0
CA02DSK,1
CA02EFK,1
CA02EQK,1
CA02ERK,1
CA02EXK,1
CA02FBK,1
CA02FFK,1
CA02FQK,1
CA02GCK,1
CA02GDK,1
CA02GNK,1
CA02GWK,1
CA02HIK,1
CA02HKK,1
CA02I9K,1
CA02IAK,1
CA02JBK,1
CA02JDK,1
CA02JFK,1
CA02JHK,1
CA02JKK,1
CA02KAK,1
CA02KHK,1
CA02L3K,0
CA02L4K,0
CA02L9K,1
CA02LQK,1
CA02MFK,1
CA02MQK,1
CA02MWK,1
CA02O0K,1
CA02OCK,1
CA02OWK,1
CA02PJK,1
CA02PRK,0
CA02QYK,1
CA02RLK,1
CA02RPK,0
CA02RZK,1
CA02S3K,1
CA02S6K,1
CA02SBK,1
CA02T3K,1
CA02TAK,1
CA02TCK,1
CA02TNK,1
CA02TZK,1
CA02UHK,1
CA02V8K,1
CA02VGK,1
CA02VIK,0
CA02WIK,1
CA02WQK,1
CA02WXK,1
CA02X7K,1
CA02ZCK,1
CA02ZDK,0
CA02ZRK,1
CA0313K,1
CA0325K,1
CA033EK,1
CA034FK,1
CA034LK,1
CA034RK,1
CA0352K,1
CA035XK,1
CA0363K,1
CA036IK,1
CA036TK,1
CA0371K,1
CA037FK,1
CA037HK,1
CA037RK,1
CA038KK,1
CA038XK,1
CA0391K,1
CA039NK,1
CA03AFK,1
CA03AMK,1
CA03AZK,1
CA03BVK,1
CA03BZK,1
CA03D0K,1
CA03D5K,1
CA03DAK,1
CA03EIK,1
CA03FGK,1
CA03FLK,1
CA03G0K,1
CA03GEK,1
CA03GIK,1
CA03GXK,1
CA03HCK,1
CA03I6K,1
CA03IKK,0
CA03IZK,1
CA03KGK,1
CA03L6K,1
CA03L9K,0
CA03LAK,1
CA03LOK,1
CA03LXK,1
CA03M9K,0
CA03MEK,1
CA03MUK,1
CA03NRK,1
CA03OMK,1
CA03OSK,1
CA03P2K,0
CA03P9K,1
CA03PAK,1
CA03PCK,1
CA03PVK,1
CA03Q6K,1
CA03Q8K,1
CA03QIK,1
CA03QYK,1
CA03RMK,1
CA03RYK,1
CA03SDK,1
CA03TWK,1
CA03UVK,1
CA03UYK,1
CA03W5K,1
CA03WUK,1
CA03XNK,1
CA03YFK,1
CA03YYK,1
CA040CK,1
CA040MK,1
CA0425K,1
CA042MK,1
CA0436K,0
CA0438K,1
CA043GK,1
CA043KK,1
CA0441K,1
CA0446K,1
CA0449K,1
CA046SK,1
CA047IK,0
CA047TK,0
CA0485K,1
CA048UK,1
CA049MK,1
CA04ABK,1
CA04AMK,1
CA04AYK,1
CA04BLK,1
CA04C2K,1
CA04CCK,1
CA04CFK,1
CA04D8K,1
CA04E8K,1
CA04FKK,1
CA04FZK,1
CA04GHK,1
CA04GIK,1
CA04GOK,1
CA04H8K,1
CA04HPK,1
CA04I7K,1
CA04IGK,1
CA04IJK,1
CA04ITK,1
CA04JBK,1
CA04JYK,0
CA04K0K,1
CA04KHK,1
CA04KOK,1
CA04LYK,0
CA04MIK,1
CA04MWK,0
CA04N1K,1
CA04NBK,1
CA04NPK,1
CA04NTK,1
CA04OBK,0
CA04OFK,1
CA04P4K,1
CA04PKK,1
CA04PQK,1
CA04PZK,1
CA04Q2K,1
CA04Q7K,1
CA04QJK,1
CA04R6K,1
CA04SCK,0
CA04SSK,1
CA04T4K,1
CA04TDK,1
CA04TJK,1
CA04TWK,1
CA04U4K,1
CA04UHK,1
CA04UKK,1
CA04UVK,1
CA04UXK,1
CA04VAK,1
CA04W4K,0
CA04XKK,1
CA04YZK,1
CA04Z5K,1
CA04ZHK,1
CA04ZTK,1
CA050QK,1
CA050SK,1
CA050VK,1
CA0523K,1
CA0525K,1
CA052BK,1
CA052DK,1
CA052KK,1
CA052MK,1
CA053FK,1
CA053NK,1
CA053XK,1
CA0542K,1
CA0555K,1
CA055JK,1
CA055LK,1
CA055PK,1
CA055QK,0
CA055ZK,1
CA0564K,1
CA056VK,1
CA056XK,1
CA0578K,1
CA057DK,1
CA057JK,1
CA057QK,1
CA0586K,1
CA058MK,1
CA059AK,1
CA059IK,1
CA059SK,1
CA05ACK,1
CA05AZK,1
CA05B9K,1
CA05C2K,1
CA05C9K,1
CA05CAK,1
CA05D1K,0
CA05DHK,0
CA05DMK,0
CA05DOK,1
CA05DYK,1
CA05E7K,0
CA05ENK,1
CA05EYK,1
CA05F0K,1
CA05FVK,0
CA05G3K,1
CA05G5K,1
CA05GGK,1
CA05GJK,1
CA05GTK,1
CA05H4K,1
CA05HIK,1
CA05IBK,1
CA05IDK,1
CA05IJK,1
CA05IWK,1
CA05J7K,1
CA05JGK,1
CA05JQK,1
CA05KEK,1
CA05KKK,1
CA05KYK,1
CA05LDK,0
CA05LFK,1
CA05MDK,0
CA05MFK,1
CA05MYK,1
CA05N3K,1
CA05OJK,0
CA05OOK,1
CA05ORK,1
CA05P7K,1
CA05P9K,0
CA05PMK,1
CA05Q5K,1
CA05QEK,1
CA05R4K,1
CA05RIK,0
CA05S9K,1
CA05SUK,1
CA05T6K,1
CA05TNK,1
CA05TRK,1
CA05TTK,1
CA05U3K,1
CA05U9K,1
CA05UJK,1
CA05UYK,0
CA05UZK,1
CA05VJK,1
CA05VXK,1
CA05WIK,1
CA05WRK,1
CA05X2K,1
CA05Y1K,1
CA05Z7K,1
CA05ZEK,1
CA05ZHK,1
CA05ZRK,1
CA05ZSK,1
CA05ZUK,1
CA0604K,0
CA0606K,1
CA060EK,1
CA060RK,1
CA060WK,1
CA0615K,1
CA0617K,1
CA061WK,0
CA061ZK,1
CA0626K,1
CA062JK,1
CA062ZK,1
CA063JK,1
CA063TK,1
CA064OK,1
CA064TK,1
CA065VK,1
CA0662K,1
CA0663K,0
CA066AK,1
CA066EK,1
CA0671K,0
CA067QK,1
CA068MK,1
CA068NK,1
CA068ZK,0
CA069GK,1
CA069JK,1
CA06A1K,1
CA06A2K,0
CA06ASK,1
CA06AXK,1
CA06B8K,1
CA06BRK,1
CA06C1K,1
CA06C9K,1
CA06CBK,1
CA06DBK,1
CA06DUK,1
CA06EPK,1
CA06F5K,1
CA06F7K,1
CA06FOK,1
CA06FYK,1
CA06GFK,1
CA06GRK,1
CA06GUK,1
CA06H0K,1
CA06H4K,1
CA06HCK,1
CA06HWK,0
CA06IMK,1
CA06JZK,1
CA06K9K,1
CA06LBK,1
CA06LXK,1
CA06MJK,1
CA06MWK,1
CA06MZK,1
CA06OEK,1
CA06OKK,0
CA06OXK,1
CA06QSK,1
CA06RLK,1
CA06SNK,1
CA06SPK,1
CA06STK,1
CA06TDK,1
CA06U1K,0
CA06UJK,1
CA06UPK,1
CA06UXK,1
CA06VMK,0
CA06VVK,1
CA06WDK,1
CA06WIK,1
CA06WNK,0
CA06WTK,1
CA06X1K,1
CA06XMK,1
CA06XWK,1
CA06Y0K,1
CA06YLK,1
CA06YOK,1
CA0700K,1
CA070CK,1
CA071NK,1
CA071OK,1
CA072VK,1
CA072YK,1
CA0744K,0
CA0745K,1
CA074ZK,1
CA0752K,1
CA0769K,1
CA0778K,1
CA0780K,1
CA078BK,1
CA078SK,1
CA0799K,1
CA079AK,1
CA079EK,1
CA07AWK,1
CA07BCK,1
CA07BHK,1
CA07C1K,1
CA07C7K,1
CA07CKK,1
CA07CSK,1
CA07D6K,1
CA07D7K,1
CA07E0K,1
CA07E1K,1
CA07E4K,1
CA07EUK,1
CA07EZK,0
CA07F2K,0
CA07FIK,1
CA07FSK,1
CA07G3K,1
CA07HRK,1
CA07IGK,1
CA07J6K,1
CA07JBK,1
CA07JEK,1
CA07KNK,1
CA07KSK,1
CA07LDK,1
CA07M3K,0
CA07NFK,1
CA07NOK,0
CA07O7K,1
CA07ODK,1
CA07OFK,1
CA07OGK,1
CA07OHK,1
CA07PAK,1
CA07PNK,1
CA07POK,1
CA07Q6K,1
CA07QHK,1
CA07QNK,1
CA07QOK,1
CA07QUK,1
CA07R2K,1
CA07RHK,1
CA07T0K,1
CA07T6K,1
CA07TGK,1
CA07WBK,1
CA07WOK,1
CA07WSK,1
CA07X8K,1
CA07XKK,1
CA07Y1K,1
CA07Y9K,1
CA07Z6K,1
CA07ZBK,1
CA07ZCK,1
CA07ZGK,1
CA07ZMK,1
CA0807K,1
CA080FK,1
CA080RK,1
CA0810K,1
CA0825K,1
CA0828K,1
CA082EK,1
CA082LK,1
CA082UK,1
CA083HK,1
CA083IK,1
CA083LK,0
CA083ZK,1
CA084AK,1
CA084VK,1
CA0852K,1
CA0854K,1
CA085ZK,0
CA0865K,1
CA088BK,1
CA088XK,1
CA0894K,1
CA089DK,1
CA08ABK,1
CA08ALK,1
CA08ARK,0
CA08AWK,1
CA08BHK,1
CA08CRK,1
CA08D9K,1
CA08DEK,1
CA08DGK,0
CA08DMK,1
CA08EOK,1
CA08EPK,1
CA08F3K,1
CA08FBK,1
CA08FNK,1
CA08FRK,1
CA08G6K,0
CA08GJK,1
CA08GQK,1
CA08H2K,1
CA08H8K,1
CA08HBK,1
CA08HFK,1
CA08HYK,1
CA08IAK,1
CA08IBK,1
CA08IEK,1
CA08IJK,1
CA08IQK,1
CA08ISK,1
CA08IXK,1
CA08J2K,1
CA08J7K,0
CA08JUK,1
CA08K3K,1
CA08KPK,1
CA08KQK,1
CA08MQK,1
CA08NAK,1
CA08ORK,1
CA08P5K,1
CA08Q7K,1
CA08QOK,1
CA08R2K,1
CA08SEK,1
CA08STK,1
CA08U8K,1
CA08VIK,1
CA08VLK,1
CA08VOK,1
CA08VPK,1
CA08W6K,0
CA08X6K,1
CA08XLK,1
CA08XOK,1
CA08ZDK,1
CA08ZJK,1
CA08ZLK,1
CA08ZUK,1
CA08ZVK,1
CA090MK,1
CA090QK,1
CA090WK,1
CA0911K,1
CA091AK,1
CA0925K,1
CA092GK,1
CA092MK,1
CA092SK,1
CA092YK,1
CA0933K,0
CA094GK,1
CA094HK,1
CA0950K,1
CA095CK,1
CA0963K,1
CA096HK,1
CA096IK,1
CA097LK,1
CA097PK,1
CA097XK,1
CA098CK,1
CA099HK,0
CA099LK,1
CA09B1K,1
CA09B3K,1
CA09BDK,1
CA09BIK,1
CA09BSK,1
CA09CDK,1
CA09CLK,1
CA09CQK,1
CA09DRK,1
CA09EEK,1
CA09EOK,1
CA09ETK,1
CA09EUK,1
CA09GRK,1
CA09GXK,1
CA09H3K,1
CA09H6K,1
CA09H7K,1
CA09HZK,1
CA09I1K,0
CA09IGK,1
CA09INK,0
CA09IXK,1
CA09J2K,1
CA09JQK,1
CA09JUK,1
CA09JVK,1
CA09K1K,1
CA09K8K,1
CA09L3K,1
CA09LHK,1
CA09LWK,1
CA09M2K,1
CA09MUK,1
CA09MZK,1
CA09NBK,0
CA09OCK,1
CA09OHK,1
CA09OZK,0
CA09P0K,0
CA09QFK,1
CA09QKK,1
CA09QLK,0
CA09ROK,1
CA09SHK,0
CA09SKK,1
CA09T4K,1
CA09TRK,1
CA09USK,0
CA09VGK,1
CA09X3K,1
CA09X9K,0
CA09XQK,1
CA09YLK,1
CA09YOK,1
CA09Z1K,1
CA09ZPK,1
CA09ZTK,1
CA0A03K,1
CA0A0LK,1
CA0A1DK,1
CA0A37K,1
CA0A47K,1
CA0A4EK,1
CA0A5AK,1
CA0A5GK,1
CA0A5TK,0
CA0A5ZK,1
CA0A64K,1
CA0A6LK,1
CA0A6XK,1
CA0A77K,0
CA0A7KK,1
CA0A7WK,1
CA0A80K,1
CA0A8LK,1
CA0A8UK,1
CA0A98K,1
CA0A9FK,1
CA0AAKK,1
CA0AANK,1
CA0AAQK,1
CA0AAXK,1
CA0ABEK,1
CA0ABQK,1
CA0AE0K,1
CA0AEEK,1
CA0AEIK,1
CA0AEVK,0
CA0AEZK,1
CA0AFAK,1
CA0AFEK,1
CA0AFIK,1
CA0AFXK,0
CA0AGOK,1
CA0AHQK,1
CA0AHSK,1
CA0AINK,1
CA0AKYK,1
CA0ALPK,1
CA0AM2K,1
CA0AMGK,1
CA0AO9K,1
CA0AOGK,0
CA0APEK,1
CA0AS6K,1
CA0AS7K,1
CA0ASOK,1
CA0AT5K,1
CA0ATMK,1
CA0AU6K,1
CA0AUAK,1
CA0AUGK,1
CA0AUHK,1
CA0AVFK,1
CA0AVHK,1
CA0AVPK,1
CA0AVZK,1
CA0AW3K,1
CA0AWCK,1
CA0AWNK,1
CA0AWWK,1
CA0AXFK,1
CA0AYKK,1
CA0AZIK,1
CA0AZJK,1
CA0B02K,1
CA0B0HK,1
CA0B15K,1
CA0B1RK,1
CA0B1XK,1
CA0B25K,1
CA0B28K,1
CA0B2GK,1
CA0B2QK,1
CA0B2SK,1
CA0B39K,1
CA0B3GK,1
CA0B3PK,1
CA0B4MK,1
CA0B5WK,1
CA0B5ZK,1
CA0B81K,1
CA0B8XK,1
CA0B9HK,1
CA0BA5K,1
CA0BB6K,1
CA0BBFK,1
CA0BBPK,1
CA0BCAK,0
CA0BCMK,1
CA0BCNK,1
CA0BCSK,1
CA0BDQK,1
CA0BDZK,1
CA0BE0K,1
CA0BEAK,1
CA0BECK,1
CA0BEGK,1
CA0BEUK,1
CA0BEZK,1
CA0BF8K,0
CA0BGFK,1
CA0BHBK,1
CA0BHTK,1
CA0BIUK,1
CA0BJ2K,0
CA0BJKK,1
CA0BKIK,1
CA0BKNK,1
CA0BKXK,1
CA0BMLK,1
CA0BMUK,1
CA0BOAK,0
CA0BOOK,1
CA0BOYK,1
CA0BPEK,1
CA0BQ5K,1
CA0BQ8K,1
CA0BQPK,1
CA0BQWK,1
CA0BR7K,1
CA0BRLK,1
CA0BSOK,1
CA0BSSK,1
CA0BT6K,1
CA0BTVK,1
CA0BU8K,1
CA0BUDK,1
CA0BV8K,0
CA0BVCK,1
CA0BVHK,1
CA0BWVK,1
CA0BXGK,1
CA0BXQK,1
CA0BY7K,1
CA0BYJK,1
CA0BYWK,1
CA0C0DK,1
CA0C0YK,1
CA0C1VK,1
CA0C26K,1
CA0C2EK,1
CA0C2KK,1
CA0C2WK,1
CA0C34K,1
CA0C38K,1
CA0C3EK,1
CA0C3SK,0
CA0C3VK,1
CA0C4BK,1
CA0C4UK,0
CA0C4YK,1
CA0C5SK,1
CA0C6UK,1
CA0C80K,1
CA0C8AK,0
CA0C8QK,1
CA0C9DK,1
CA0CA1K,1
CA0CASK,1
CA0CB4K,1
CA0CC5K,1
CA0CCKK,1
CA0CCNK,1
CA0CD1K,1
CA0CD4K,1
CA0CDFK,1
CA0CDSK,1
CA0CF4K,1
CA0CFLK,1
CA0CFNK,0
CA0CG7K,0
CA0CG8K,1
CA0CGBK,1
CA0CGCK,1
CA0CHAK,1
CA0CHYK,1
CA0CJ8K,1
CA0CJQK,1
CA0CKPK,1
CA0CL9K,1
CA0CLVK,1
CA0CLXK,1
CA0CM2K,0
CA0CMVK,1
CA0CMYK,1
CA0CNDK,0
CA0CNGK,0
CA0CNNK,1
CA0CNPK,1
CA0CNVK,1
CA0COEK,1
CA0COUK,1
CA0CQ1K,1
CA0CQFK,1
CA0CQQK,1
CA0CRBK,1
CA0CS2K,1
CA0CS8K,1
CA0CSHK,1
CA0CSWK,1
CA0CSZK,1
CA0CT0K,1
CA0CT6K,1
CA0CTHK,1
CA0CU9K,1
CA0CUHK,1
CA0CULK,1
CA0CURK,0
CA0CUVK,1
CA0CVIK,1
CA0CVPK,1
CA0CVVK,1
CA0CWLK,1
CA0CYDK,1
CA0CYLK,1
CA0CZ1K,1
CA0CZRK,1
CA0CZVK,1
CA0CZYK,1
CA0D02K,1
CA0D06K,1
CA0D09K,1
CA0D1LK,1
CA0D2HK,0
CA0D3HK,1
CA0D3OK,1
CA0D43K,1
CA0D45K,1
CA0D4AK,1
CA0D4BK,0
CA0D5RK,1
CA0D6WK,1
CA0D6XK,1
CA0D7AK,0
CA0D8JK,1
CA0D92K,1
CA0D9XK,1
CA0DA1K,1
CA0DAGK,1
CA0DARK,1
CA0DAVK,1
CA0DBBK,1
CA0DBDK,1
CA0DCGK,1
CA0DCTK,1
CA0DD3K,1
CA0DDDK,1
CA0DDGK,1
CA0DDMK,1
CA0DDNK,1
CA0DDOK,1
CA0DE7K,1
CA0DELK,1
CA0DEWK,1
CA0DG4K,1
CA0DGDK,1
CA0DGSK,1
CA0DH8K,0
CA0DHKK,1
CA0DI4K,1
CA0DIGK,1
CA0DITK,0
CA0DJ0K,1
CA0DJ6K,1
CA0DJMK,1
CA0DJOK,1
CA0DK5K,1
CA0DKOK,1
CA0DKVK,1
CA0DM2K,1
CA0DN4K,1
CA0DQ7K,1
CA0DQCK,1
CA0DQRK,1
CA0DR4K,1
CA0DREK,1
CA0DRIK,1
CA0DS3K,1
CA0DS6K,1
CA0DTKK,0
CA0DTSK,1
CA0DU5K,1
CA0DU8K,1
CA0DU9K,1
CA0DV7K,1
CA0DV9K,1
CA0DVEK,1
CA0DVTK,1
CA0DW0K,1
CA0DX1K,1
CA0DX8K,1
CA0DX9K,1
CA0DXSK,1
CA0DYNK,1
CA0DYOK,1
CA0DYSK,1
CA0DYWK,1
CA0DZAK,0
CA0DZEK,1
CA0E08K,1
CA0E0JK,0
CA0E15K,1
CA0E17K,1
CA0E1QK,1
CA0E21K,1
CA0E2KK,1
CA0E2SK,1
CA0E3TK,1
CA0E4FK,1
CA0E4XK,1
CA0E52K,1
CA0E57K,1
CA0E5JK,0
CA0E5TK,1
CA0E6JK,1
